Departamento,Iniciales,Base de Coca,Basuco,Cocaina,Heroina,Marihuana
AMAZONAS,AMA,31,20,32,0,161
ANTIOQUIA,ANT,5693,9384,4868,92,20916
ARAUCA,ARA,15,47,26,6,58
ATLANTICO,ATL,534,233,223,65,523
BOLIVAR,BOL,701,261,244,2,848
BOYACA,BOY,59,146,50,2,274
CALDAS,CAL,519,1285,285,1,1279
CAQUETA,CAQ,131,37,62,0,148
CASANARE,CAS,49,91,59,0,327
CAUCA,CAU,229,319,117,20,708
CESAR,CES,559,554,286,24,2033
CHOCO,CHO,71,19,71,0,102
CORDOBA,COR,252,98,160,0,387
CUNDINAMARCA,CUN,1216,3459,1334,41,6213
GUAINIA,GUAI,14,10,1,0,33
GUAJIRA,GUAJ,49,44,74,0,258
GUAVIARE,GUAV,56,33,37,0,308
HUILA,HUI,88,368,112,0,579
MAGDALENA,MAG,165,86,195,0,565
META,MET,229,246,153,4,764
NARINO,NAR,160,468,283,18,519
NORTE DE SANTANDER,NOR,282,180,202,41,796
PUTUMAYO,PUT,149,153,164,0,348
QUINDIO,QUI,321,245,222,41,376
RISARALDA,RIS,219,481,180,39,878
SAN ANDRES,SAN,0,2,21,0,62
SANTANDER,SANT,639,1076,639,4,2653
SUCRE,SUC,596,345,272,0,1181
TOLIMA,TOL,163,371,133,4,570
VALLE,VAL,5056,7316,5036,748,9577
VAUPES,VAU,5,1,1,0,21
VICHADA,VIC,18,14,14,0,90